BACIA,SUBBACIA,ÁREA,L_TALVEGUE,S_TALVEGUE,ID_JUSANTE,VERF_SB,VERF_A,VERF_L,VERF_S
BACIA 02,SB24,1237.3876880001756,,,D29.1-B2,OK,OK,"REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE.","REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO TALVEGUE, CONFIRMAR SE ESTÁ CONTIDO TOTALMENTE NA HACHURA. CONFIRMAR SE EXISTE TALVEGUE."
BACIA 02,SB25,3237.182066243012,55.72039248453764,0.02279961196792283,D13.4-B2,OK,OK,OK,OK
BACIA 07,SB01,549.9162549875219,84.95782030829433,0.06968141789789446,D29.1-B2,OK,OK,OK,OK
BACIA 08,,3580.6203275855246,78.36048110676978,0.10244536562289379,D30.1-B2,REVISAR. POSSÍVEL ERRO NA HACHURA. POSSÍVEL ERRO NO MTEXT DO ID DA SUBBACIA.,OK,OK,OK
BACIA 01,SB02,1790.4366984955595,104.40806943952538,0.09066071825398656,D19.1-B2,OK,OK,OK,OK
BACIA 01,SB05,1946.1704690744134,55.775229922055246,0.08594864405037267,D21.1-B2,OK,OK,OK,OK
BACIA 09,SB01,7374.394966431461,147.17945880879216,0.08419280811813191,D18.1-B2,OK,OK,OK,OK
BACIA 01,SB01,2071.484588277957,94.69225678884561,0.08725660346145063,D20.1-B2,OK,OK,OK,OK
BACIA 01,SB04,3980.2125560924587,118.8170884662187,0.06328527244272779,D19.3-B2,OK,OK,OK,OK
BACIA 01,SB03,1502.7606529278705,43.5534421753865,0.10583495408519938,D19.2-B2,OK,OK,OK,OK
BACIA 06,SB01,6060.203487455811,7.600000000034925,0.0,,OK,OK,OK,OK
BACIA 06,SB02,3223.9541172336094,61.33700994229222,0.11446416710813921,D31.2-B2,OK,OK,OK,OK
BACIA 04,SB01,8283.372390278362,121.70464485257851,0.179009785772676,D01.1-B2,OK,OK,OK,OK
BACIA 04,SB02,19081.57263386412,310.59359718181236,0.15074720489219692,D01.1-B2,OK,OK,OK,OK
